Game_ID, Player_ID, Player_Plus/Minus
87d1574f478f37d13789284b96b4f6cb,928d7057f3a2b03d6e1574c5a55d0a54,+19
87d1574f478f37d13789284b96b4f6cb,249de90677348e56e1f8c68e67edd04f,+1
87d1574f478f37d13789284b96b4f6cb,74830bfa36f9e2005b3b6beb635e80f5,+1
87d1574f478f37d13789284b96b4f6cb,2a3cecf791ee8e19a105d8ff8a3296ef,+3
87d1574f478f37d13789284b96b4f6cb,4121c3bfb44f9d3a3151b212f31e7e04,+31
87d1574f478f37d13789284b96b4f6cb,2f47647508381809be04b091b6ca7784,+9
87d1574f478f37d13789284b96b4f6cb,317a4d61e1dd679f93b3628f3e35e0d0,+4
87d1574f478f37d13789284b96b4f6cb,9b85cb9662c0d65b722d77aea12f3f13,-10
87d1574f478f37d13789284b96b4f6cb,978f65d65974dcaaea595daaa1b35a2a,+6
87d1574f478f37d13789284b96b4f6cb,5e6c9c4441186264607c60fcc533574c,+7
87d1574f478f37d13789284b96b4f6cb,90329ef6783257720e881642b13afcf1,+29
87d1574f478f37d13789284b96b4f6cb,5cfae6b3803440cb1d87ceead6aad4eb,+15
87d1574f478f37d13789284b96b4f6cb,2d9594e4d250679e7a3383ad5ccd2f44,-12
87d1574f478f37d13789284b96b4f6cb,1362d9ad805e7cc4ea3a9467c91142d6,-3
87d1574f478f37d13789284b96b4f6cb,8669ba66385e8896db72f69bf95d7ca9,-8
87d1574f478f37d13789284b96b4f6cb,b2fada91a0c8a0f400623c425286ae2e,-32
87d1574f478f37d13789284b96b4f6cb,5234e98b6206eb09c43f8cf19ae9d6ef,-12
87d1574f478f37d13789284b96b4f6cb,6bf40f9c2b640febc71d1393fb24d894,-7
87d1574f478f37d13789284b96b4f6cb,cec898a1d355dbfbad8c760615fde1af,-8
87d1574f478f37d13789284b96b4f6cb,a99f44bbff39e352191a870e17f04537,-15
87d1574f478f37d13789284b96b4f6cb,2b313e2bcef0268bc8e9415132ba9997,-20
87d1574f478f37d13789284b96b4f6cb,f1b33b117f9ae58f140d9581c329452a,+4
87d1574f478f37d13789284b96b4f6cb,881f83d2dee3f18c7d1751659406144e,+9
87d1574f478f37d13789284b96b4f6cb,314c71574689f752c17b83cd6a4d770e,-11
06bb1d31c63891e2580ff12e4e6505b4,394e78a51b6d2fd3c046f11f49fcab57,-33
